ProductKey,ProductName,ProductCategory,LaunchDate
P01,Smart Speaker EchoSphere,Audio,15-01-2022
P02,Security Cam VisionPro,Security,01-04-2023
P03,Smart Bulb Aura,Lighting,01-03-2022
P04,Smart Thermostat ClimateControl,HVAC,01-06-2022
P05,Door Lock SecureEntry,Security,15-08-2022
P06,Smart Switch PowerFlex,Lighting,01-10-2022
P07,Motion Sensor AlertGuard,Security,15-01-2023
P08,Smart Display InfoHub,Audio,01-07-2023
P09,Outdoor Camera WeatherWatch,Security,01-01-2024
P10,Smart Plug ConnectMax,Lighting,15-03-2024
